Date,Close,High,Low,Open,Volume,RSI,RSI_2,RSI_above_70,RSI_below_30,RSI_cross_down_70,RSI_cross_up_30,SMA_50,EMA_50,RSI_2_above_90,RSI_2_below_10,RSI_2_cross_90,RSI_2_cross_10,RSI_slope,RSI_divergence,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,Bollinger_Strong,Bollinger_2pct_Lower,Momentum,Volatility,CCI,ROC,Williams_%R,TRIX,TSI,MACD,MACD_Signal,MACD_Hist,ADX,VWAP,ATR,Stochastic_K,Stochastic_D,Stoch_RSI,double_top,head_and_shoulders,cup_and_handle,triple_top,triple_bottm,bullish_engulfing,bearish_engulfing,Short_Momentum,Volatility_Breakout,RSI_cross_50,Trend_5D,Trend_10D,Volume_Trend,RSI_Delta,MACD_Delta,Bollinger_Width,Momentum_Change,Volatility_Change,Target_Tomorrow,Target_3_Days,Target_Next_Week
2020-03-13,13.707599639892578,13.820945673431705,10.866721621040691,12.598258731059067,2.430794327182663,-1.4923511897038886,52.70546745702112,0,0,0,1,22.59163656234741,21.389902548348957,0,0,0,0,8.383616552136203,0,20.554403924942015,30.70530027692203,10.403507572961997,0,0,1.5601661290355,1.3976974443695986,-129.79582323700518,-36.242285931664995,-77.17849419313197,-1.1530299053164175,-30.41392544252594,-2.7975890549261457,-1.8691183081525469,-0.9284707467735989,39.67299438633233,20.747448194084082,0.06001998171977907,22.82150580686804,9.449163511317474,0.5761785470459077,0.0,0.0,0.0,0.0,0.0,0,0,-0.19672126566701076,0,0,-0.2602810337762791,-0.2618180316681382,0.413629627220222,8.383616552136203,-0.12069049474224158,20.301792703960032,2.680406364702301,0.18884023540103834,-0.34465167050939716,-0.3084096661485822,-0.3752641326444711
2020-03-16,8.98325252532959,11.720431114729195,8.920551033289465,9.757379569138841,3.185391157381067,-2.0134981297916013,20.71197450306056,0,0,0,0,22.333160095214843,20.90336725332859,0,0,0,0,-6.161627432447716,1,19.622436714172363,30.441564482778347,8.80330894556638,0,0,-2.5950337949656315,1.6161996688262692,-159.97233630608076,-50.8704826286825,-99.54177242505034,-1.3330122309370163,-32.43062224414458,-3.2371367729950187,-2.1427220011210415,-1.0944147718739772,41.26187100848394,20.11766302888525,0.24428335582215993,0.4582275749496625,7.977379282783002,0.2393618494392563,0.0,0.0,0.0,0.0,0.0,0,0,-0.3958806001929155,0,0,-0.39163807294228514,-0.574334362443039,0.6175610273910668,-6.161627432447716,-0.43954771806887294,21.63825553721197,-2.9282283861873855,1.4133497930213503,0.16295269991166314,0.07973142874189339,-0.04375843916470967
2020-03-17,10.447097778320312,10.886010864707371,8.621508499677441,9.49692346646328,3.9527895008635427,-1.698524742079652,42.38519500526643,0,0,0,0,22.115873832702636,20.49331746999493,0,0,0,0,3.7239951286873065,0,18.76125040054321,29.624822707049876,7.8976780940365465,0,0,0.771633760105856,1.6307324042748388,-139.697368106853,-43.74026522548522,-86.42153269509001,-1.5129988894560025,-32.46357535769987,-3.4278473379329704,-2.3997470684834274,-1.028100269449543,42.78984728801512,19.553351114622785,0.22708146214079578,13.578467304910006,12.286066895575901,0.4429288055558226,0.0,0.0,0.0,0.0,0.0,0,0,-0.03217175017773655,0,0,-0.3877898610053153,-0.4535134731727837,0.6701723255177832,3.7239951286873065,-0.1907105649379517,21.72714461301333,2.3733864074762776,0.08530044886695101,-0.09256679583034523,-0.1802863022722194,0.005540424385206693
2020-03-18,9.480043411254883,10.008185902389364,7.893202891658311,8.754147966773349,4.596256411998139,-1.8038015249572668,31.13898828331517,0,0,0,0,21.871143531799316,20.061424369652183,0,0,0,0,-1.2447090512886376,1,17.81167850494385,28.418530296284345,7.204826713603351,0,0,-0.5508899098740301,1.546788425838895,-136.85004450626298,-55.07942461440018,-88.80381218560095,-1.6943160891654268,-32.93399681353603,-3.615344598001448,-2.642866574387032,-0.9724780236144159,44.33742281204265,18.938422727583614,0.23271091308038266,11.196187814399073,8.410960898086246,0.3127678022397878,0.0,0.0,0.0,0.0,0.0,0,0,-0.30840966614858223,0,0,-0.3624716527110783,-0.5577679881114634,0.9701648535254148,-1.2447090512886376,-0.18749726006847744,21.213703582680992,-0.931681866887319,-0.5558833670302081,0.023149332038702904,-0.0938691898815216,0.08242183075255624
2020-03-19,9.69950008392334,10.630382110470295,8.681799911072599,9.369108702716531,4.2693354731236335,-1.7533693949758136,38.54032300737682,0,0,0,0,21.63133295059204,19.655074397662815,0,0,0,0,0.5962694427759487,0,16.913594484329224,27.039786156716893,6.787402811941554,0,0,0.09462787366335135,1.3896193634666185,-114.0044340144017,-49.262022570293205,-87.25540319681117,-1.867767823702429,-33.09048826195379,-3.703537137295209,-2.8550006869686677,-0.8485364503265411,45.275060095265076,18.43303142898437,0.19275274299724537,12.744596803188832,12.506417307499303,0.32828795727572235,0.0,0.0,0.0,0.0,0.0,0,0,0.07973142874189332,0,0,-0.10142985261848092,-0.5040079591535972,0.301804389853801,0.5962694427759487,-0.08819253929376103,20.25238334477534,0.4554467568938701,-1.0326533249793377,-0.11710613162583403,0.083043357153806,0.23023376155517097
2020-03-20,8.563629150390625,10.562854632018574,8.464753148956827,10.36751475501519,4.102483756755372,-1.8862304000933863,18.242904139723834,0,0,0,0,21.358820819854735,19.220115760514886,0,0,0,0,-1.5708429827818406,1,16.037817811965944,25.851218275499775,6.224417348432111,0,0,-0.6427340581044536,1.2873410610333913,-109.61900149049693,-60.051755208753185,-95.26970844531988,-2.039092984833355,-33.71512848014895,-3.821039091413498,-3.048208367857634,-0.772830723555864,46.19348489857722,17.934772867133933,0.1668100769771866,4.73029155468013,9.557025390756012,0.23094307977570394,0.0,0.0,0.0,0.0,0.0,0,1,-0.18028630227221942,0,0,-0.3752641326444711,-0.5378710300368885,0.40619935199313173,-1.5708429827818406,-0.11750195411828912,19.626800927067663,-0.5192441130153777,-0.6752585102367483,0.003098016663518796,0.1982543574246382,0.24866263768962948
2020-03-23,8.59015941619873,9.164123178099139,7.782269977691103,8.66491969962554,4.382264587766895,-1.8794030435460023,20.20598589930256,0,0,0,0,21.0756494140625,18.80325472740445,0,0,0,0,0.0807212403211679,0,15.313610935211182,25.0782571655677,5.548964704854663,0,0,-0.01033316114527272,1.2713991161683758,-108.16524733338953,-56.0735021065852,-94.11040906943921,-2.202204320038215,-34.18127626334176,-3.8674380474654875,-3.212054303779205,-0.6553837436862824,47.197453931878066,17.465060687287167,0.08925379591383227,5.889590930560774,7.7881597628099115,0.2359453615676104,0.0,0.0,0.0,0.0,0.0,0,0,-0.0938691898815216,0,0,-0.04375843916470967,-0.41825904131756575,0.2457626603699523,0.0807212403211679,-0.046398956051989515,19.529292460713037,0.44620162194257335,-0.1131207924696113,0.2229085194619778,0.38910722086809396,0.37563157547070836
2020-03-24,10.504979133605957,10.548388210518285,9.67779638571406,9.943073260216773,4.454398126327351,-1.394005395968087,82.13302279114212,0,0,0,0,20.834488315582277,18.477832155098625,0,0,0,0,5.7389561962280595,0,14.778474378585816,24.35431691362329,5.2026318435483425,0,0,1.016985069072514,1.2096629774798495,-72.31151328023567,-43.310772789876616,-79.28060628323057,-2.3354007803023262,-32.84214944533857,-3.706967986602333,-3.311037040343831,-0.39593094625850167,46.991681944281524,17.128183356576983,0.06026266395475087,20.719393716769435,10.446425400670114,0.8432928399959095,0.0,0.0,0.0,0.0,0.0,0,0,0.08304335715380606,0,0,0.005540424385206633,-0.38439795702235846,0.08897814862796394,5.7389561962280595,0.16047006086315463,19.151685070074947,0.7245499951495101,-0.411287686788678,-0.023186451461149064,0.017906235426479372,0.09366389508962514
2020-03-25,10.261405944824219,11.537148549196305,9.906899707660141,10.6593221791417,4.491761026633567,-1.4302813437205568,68.59034460514452,0,0,0,0,20.572683773040772,18.155619362538843,0,0,0,0,-0.42889798944619884,1,14.216568899154662,23.444402868514686,4.988734929794637,0,0,-0.15728213801423704,1.0958690973380831,-60.21194755845093,-30.507923746853443,-77.5594901903822,-2.4435365766928094,-31.88264551899966,-3.5584292703690323,-3.3605154863488718,-0.19791378402016058,46.06824702323026,16.80932632276935,0.008859205981914649,22.440509809617794,16.349831485649336,0.9394603765667016,0.0,1.0,0.0,0.0,0.0,0,0,0.19825435742463826,0,0,0.08242183075255616,-0.3099253991708739,-0.016637000364664645,-0.42889798944619884,0.1485387162333005,18.455667938720048,-0.8271867186920997,-0.7502366625954916,0.16286720724351164,0.1515863025778021,-0.01927143317053078
2020-03-26,11.932652473449707,12.058056370093482,10.531505992060435,10.57009265560316,3.118436224518051,-1.0172171536945014,90.37312197831388,0,0,0,0,20.349754409790037,17.911581445319662,1,0,1,0,4.883742854170791,0,13.898959636688232,22.97320681770148,4.824712455674984,0,0,0.8844698039918081,1.0456483892630675,-39.92550360363338,-30.073490414670363,-55.48370776018762,-2.5119700365023623,-29.62067956515655,-3.2681820713743104,-3.3420488033539595,0.0738667319796491,44.83973904518977,16.639366991393306,-0.026450993638311535,44.51629223981238,29.225398588733203,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3891072208680939,0,0,0.23023376155517106,0.10545133243435068,-0.19329907923472012,4.883742854170791,0.29024719899472196,18.148494362026497,0.734723263976302,-0.3363104921685508,-0.10388039985956211,-0.03718670910279994,-0.10670977733657612
